Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Country,Action
AZEK,The AZEK Company Inc. Class A,Common stocks,Mid cap,Industrials,"$5,750,110,084 ",0.00%,USA,Analyze
AZO,Autozone Inc,Common stocks,Large cap,Consumer Discretionary,"$34,949,034,904 ",0.00%,USA,Analyze
AZPN,Aspen Technology Inc,Common stocks,Mid cap,Information Technology,"$9,951,263,530 ",0.00%,USA,Analyze
BA,Boeing,Common stocks,Large cap,Industrials,"$132,079,353,858 ",0.00%,USA,Analyze
BAC,Bank of America Corp,Common stocks,Large cap,Financials,"$326,748,080,202 ",1.87%,USA,Analyze
BAH,Booz Allen Hamilton Holding Corp,Common stocks,Large cap,Industrials,"$12,156,627,335 ",1.51%,USA,Analyze
BAX,Baxter International Inc,Common stocks,Large cap,Health Care,"$40,615,355,475 ",1.25%,USA,Analyze
BBY,Best Buy Inc,Common stocks,Large cap,Consumer Discretionary,"$28,761,813,786 ",2.16%,USA,Analyze
BC,Brunswick Corp,Common stocks,Mid cap,Consumer Discretionary,"$7,819,378,253 ",0.84%,USA,Analyze
BDX,Becton Dickinson,Common stocks,Large cap,Health Care,"$72,538,859,453 ",1.31%,USA,Analyze
BEN,Franklin Resources Inc,Common stocks,Large cap,Financials,"$15,059,075,404 ",3.67%,USA,Analyze
BEPC,Brookfield Renewable Corporation Class A,Common stocks,Mid cap,Utilities,"$7,127,762,422 ",3.20%,Canada,Analyze
BERY,Berry Global Group Inc,Common stocks,Mid cap,Materials,"$8,634,960,000 ",0.00%,USA,Analyze
BFAM,Bright Horizons Family Solutions,Common stocks,Mid cap,Consumer Discretionary,"$9,311,907,812 ",0.00%,USA,Analyze
BG,Bunge Ltd,Common stocks,Large cap,Consumer Staples,"$10,567,976,425 ",2.65%,USA,Analyze
BHF,Brighthouse Financial,Common stocks,Mid cap,Financials,"$3,657,396,813 ",0.00%,USA,Analyze
BIIB,Biogen Inc,Common stocks,Large cap,Health Care,"$49,468,670,735 ",0.00%,USA,Analyze
BILL,"Bill.com Holdings, Inc.",Common stocks,Large cap,Information Technology,"$19,290,075,341 ",0.00%,USA,Analyze
BIO,Bio Rad Laboratories Inc Class A,Common stocks,Large cap,Health Care,"$20,352,460,585 ",0.00%,USA,Analyze
BK,Bank Of New York Mellon Corp,Common stocks,Large cap,Financials,"$43,992,912,562 ",2.50%,USA,Analyze
BKI,Black Knight,Common stocks,Large cap,Information Technology,"$12,594,883,565 ",0.00%,USA,Analyze
BKNG,Booking Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$91,576,509,959 ",0.00%,USA,Analyze
BKR,Baker Hughes Company Class A,Common stocks,Large cap,Energy,"$21,626,163,600 ",3.40%,USA,Analyze
BLD,Topbuild Corp,Common stocks,Mid cap,Consumer Discretionary,"$6,496,895,321 ",0.00%,USA,Analyze
BLDR,Builders Firstsource Inc,Common stocks,Mid cap,Industrials,"$9,118,865,134 ",0.00%,USA,Analyze
BLK,Blackrock Inc,Common stocks,Large cap,Financials,"$132,925,233,207 ",1.77%,USA,Analyze
BLL,Ball Corp,Common stocks,Large cap,Materials,"$26,644,419,470 ",0.74%,USA,Analyze
BMRN,Biomarin Pharmaceutical Inc,Common stocks,Large cap,Health Care,"$14,135,138,022 ",0.00%,USA,Analyze
BMY,Bristol Myers Squibb,Common stocks,Large cap,Health Care,"$151,141,193,776 ",2.81%,USA,Analyze
BOH,Bank Of Hawaii Corp.,Common stocks,Mid cap,Financials,"$3,362,423,530 ",3.19%,USA,Analyze
BOKF,BOK Financial Corp,Common stocks,Mid cap,Financials,"$5,742,697,995 ",2.48%,USA,Analyze
BPOP,Popular Inc,Common stocks,Mid cap,Financials,"$5,870,458,365 ",2.25%,USA,Analyze
BPYU,Brookfield Property REIT Inc. - Class A,REITs,Small cap,Real Estate,"$710,173,504 ",7.12%,USA,Analyze
BR,Broadridge Financial Solutions Inc,Common stocks,Large cap,Information Technology,"$20,016,584,841 ",1.33%,USA,Analyze
BRKR,Bruker Corp,Common stocks,Large cap,Health Care,"$12,251,997,278 ",0.20%,USA,Analyze
BRKS,Brooks Automation Inc,Common stocks,Mid cap,Information Technology,"$6,570,802,713 ",0.45%,USA,Analyze
BRO,Brown & Brown Inc,Common stocks,Large cap,Financials,"$15,332,543,222 ",0.50%,USA,Analyze
BRX,Brixmor Property Group Inc,REITs,Mid cap,Real Estate,"$6,669,129,667 ",2.84%,USA,Analyze
BSX,Boston Scientific Corp,Common stocks,Large cap,Health Care,"$62,477,450,294 ",0.00%,USA,Analyze
BSY,"Bentley Systems, Inc Class B",Common stocks,Large cap,Information Technology,"$16,206,751,428 ",0.15%,USA,Analyze
BURL,Burlington Stores Inc,Common stocks,Large cap,Consumer Discretionary,"$21,953,476,157 ",0.00%,USA,Analyze
BWA,BorgWarner Inc,Common stocks,Large cap,Consumer Discretionary,"$11,452,730,445 ",1.42%,USA,Analyze
BWXT,BWX Technologies Inc,Common stocks,Mid cap,Industrials,"$5,480,130,528 ",1.38%,USA,Analyze
BX,Blackstone Group Inc. Class A,Common stocks,Large cap,Financials,"$77,516,521,153 ",2.35%,USA,Analyze
BXP,"Boston Properties, Inc",REITs,Large cap,Real Estate,"$18,007,847,196 ",3.35%,USA,Analyze
BYD,Boyd Gaming Corp,Common stocks,Mid cap,Consumer Discretionary,"$6,454,738,282 ",0.12%,USA,Analyze
BYND,"Beyond Meat, Inc.",Common stocks,Mid cap,Consumer Staples,"$7,944,105,316 ",0.00%,USA,Analyze
C,Citigroup Inc,Common stocks,Large cap,Financials,"$140,083,810,363 ",2.97%,USA,Analyze
CABO,Cable One Inc,Common stocks,Large cap,Communication Services,"$11,621,811,287 ",0.52%,USA,Analyze
CACC,Credit Acceptance Corp,Common stocks,Mid cap,Financials,"$7,809,818,226 ",0.00%,USA,Analyze
CACI,CACI International Inc,Common stocks,Mid cap,Industrials,"$6,309,003,988 ",0.00%,USA,Analyze
CAG,Conagra Brands Inc,Common stocks,Large cap,Consumer Staples,"$16,451,169,850 ",3.00%,USA,Analyze
CAH,Cardinal Health Inc,Common stocks,Large cap,Health Care,"$17,112,924,734 ",3.26%,USA,Analyze
CARR,Carrier Global Corporation,Common stocks,Large cap,Industrials,"$44,762,112,735 ",0.85%,USA,Analyze
CASY,Caseys General Stores Inc,Common stocks,Mid cap,Consumer Staples,"$7,295,043,609 ",0.67%,USA,Analyze
CAT,Caterpillar Inc,Common stocks,Large cap,Industrials,"$115,599,522,687 ",1.98%,USA,Analyze
CB,Chubb Ltd,Common stocks,Large cap,Financials,"$75,610,973,281 ",1.85%,USA,Analyze
CBOE,"Cboe Global Markets, Inc.",Common stocks,Large cap,Financials,"$12,591,056,346 ",1.42%,USA,Analyze
CBRE,CBRE Group Inc,Common stocks,Large cap,Real Estate,"$29,940,639,188 ",0.00%,USA,Analyze
CBSH,Commerce Bancshares Inc,Common stocks,Mid cap,Financials,"$8,453,414,647 ",1.45%,USA,Analyze
CC,Chemours Company,Common stocks,Mid cap,Materials,"$5,343,189,448 ",3.06%,USA,Analyze
CCI,Crown Castle International Corp.,REITs,Large cap,Real Estate,"$83,084,137,547 ",2.67%,USA,Analyze
CCK,Crown Holdings Inc,Common stocks,Large cap,Materials,"$13,454,821,971 ",0.40%,USA,Analyze
CCL,Carnival Corp,Common stocks,Large cap,Consumer Discretionary,"$25,568,408,771 ",0.00%,USA,Analyze
CDAY,Ceridian HCM Holding Inc.,Common stocks,Large cap,Information Technology,"$14,862,584,734 ",0.00%,USA,Analyze
CDK,CDK Global Inc,Common stocks,Mid cap,Information Technology,"$5,888,979,952 ",1.24%,USA,Analyze
CDNS,Cadence Design Systems Inc,Common stocks,Large cap,Information technology,"$40,340,077,050 ",0.00%,USA,Analyze
CDW,CDW Corp,Common stocks,Large cap,Information Technology,"$25,458,158,975 ",0.87%,USA,Analyze
CE,Celanese Corporation,Common stocks,Large cap,Materials,"$17,062,887,274 ",1.72%,USA,Analyze
CERN,Cerner Corp,Common stocks,Large cap,Health Care,"$23,590,113,254 ",1.07%,USA,Analyze
CERT,"Certara, Inc.",Common stocks,Mid cap,Health Care,"$4,061,605,167 ",0.00%,USA,Analyze
CF,CF Industries Holdings Inc,Common stocks,Large cap,Materials,"$10,228,070,623 ",2.49%,USA,Analyze
CFG,Citizens Financial Group Inc,Common stocks,Large cap,Financials,"$18,830,372,329 ",3.48%,USA,Analyze
CFR,Cullen Frost Bankers Inc,Common stocks,Mid cap,Financials,"$6,668,443,362 ",2.71%,USA,Analyze
CFX,Colfax Corp,Common stocks,Mid cap,Industrials,"$6,158,830,774 ",0.00%,USA,Analyze
CG,Carlyle Group,Common stocks,Large cap,Financials,"$16,633,001,229 ",1.58%,USA,Analyze
CGNX,Cognex Corp,Common stocks,Large cap,Information Technology,"$15,096,433,120 ",0.27%,USA,Analyze
CHD,Church And Dwight Inc,Common stocks,Large cap,Consumer Staples,"$21,199,055,769 ",1.13%,USA,Analyze
CHDN,Churchill Downs Inc,Common stocks,Mid cap,Consumer Discretionary,"$7,348,560,745 ",0.33%,USA,Analyze
CHE,Chemed Corp,Common stocks,Mid cap,Health Care,"$7,623,031,895 ",0.28%,USA,Analyze
CHGG,Chegg Inc,Common stocks,Large cap,Consumer Discretionary,"$12,410,803,832 ",0.00%,USA,Analyze
CHH,Choice Hotels International Inc,Common stocks,Mid cap,Consumer Discretionary,"$6,614,499,906 ",0.19%,USA,Analyze
CHNG,Change Healthcare Inc.,Common stocks,Mid cap,Health Care,"$6,823,004,452 ",0.00%,USA,Analyze
CHPT,"ChargePoint Holdings, Inc.",Common stocks,Mid cap,Industrials,"$7,114,452,043 ",0.00%,USA,Analyze
CHRW,"C.H. Robinson Worldwide, Inc.",Common stocks,Large cap,Industrials,"$12,301,451,975 ",2.19%,USA,Analyze
CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"$137,662,150,306 ",0.00%,USA,Analyze
CI,Cigna Corp,Common stocks,Large cap,Health Care,"$78,388,169,214 ",0.87%,USA,Analyze
CIEN,Ciena Corp,Common stocks,Mid cap,Information Technology,"$8,761,368,475 ",0.00%,USA,Analyze
CINF,Cincinnati Financial Corp,Common stocks,Large cap,Financials,"$18,811,253,719 ",2.09%,USA,Analyze
CL,Colgate-Palmolive,Common stocks,Large cap,Consumer Staples,"$71,137,514,710 ",2.10%,USA,Analyze
CLF,Cleveland-Cliffs Inc.,Common stocks,Large cap,Materials,"$10,996,838,382 ",0.00%,USA,Analyze
CLH,Clean Harbors Inc,Common stocks,Mid cap,Industrials,"$5,070,170,229 ",0.00%,USA,Analyze
CLR,Continental Resources Inc,Common stocks,Large cap,Energy,"$13,003,374,077 ",0.31%,USA,Analyze
CLVT,Clarivate Plc,Common stocks,Large cap,Industrials,"$15,650,572,628 ",0.00%,USA,Analyze
CLX,Clorox,Common stocks,Large cap,Consumer Staples,"$22,941,665,576 ",2.37%,USA,Analyze
CMA,Comerica Inc,Common stocks,Mid cap,Financials,"$9,458,765,777 ",3.96%,USA,Analyze
CMCSA,Comcast A Corp,Common stocks,Large cap,Communication Services,"$269,130,390,934 ",1.63%,USA,Analyze
CME,CME Group Inc Class A,Common stocks,Large cap,Financials,"$75,564,159,258 ",1.64%,USA,Analyze
CMG,Chipotle Mexican Grill Inc,Common stocks,Large cap,Consumer Discretionary,"$50,763,774,143 ",0.00%,USA,Analyze
CMI,Cummins Inc,Common stocks,Large cap,Industrials,"$34,657,766,682 ",2.25%,USA,Analyze
CMS,CMS Energy Corp,Common stocks,Large cap,Utilities,"$17,940,703,529 ",2.69%,USA,Analyze
CNA,CNA Financial Corp,Common stocks,Large cap,Financials,"$11,944,751,607 ",3.35%,USA,Analyze
CNC,Centene Corp,Common stocks,Large cap,Health Care,"$42,347,336,245 ",0.00%,USA,Analyze
CNP,Centerpoint Energy Inc,Common stocks,Large cap,Utilities,"$14,715,569,874 ",2.42%,USA,Analyze
CNXC,Concentrix Corporation,Common stocks,Mid cap,Information Technology,"$8,382,347,012 ",0.00%,USA,Analyze
COF,Capital One Financial Corp,Common stocks,Large cap,Financials,"$73,294,779,943 ",0.61%,USA,Analyze
COG,Cabot Oil & Gas Corp,Common stocks,Mid cap,Energy,"$6,462,611,523 ",2.51%,USA,Analyze
COHR,Coherent Inc,Common stocks,Mid cap,Information Technology,"$6,236,295,225 ",0.00%,USA,Analyze
COLD,Americold Realty Trust,REITs,Mid cap,Real Estate,"$9,760,615,189 ",2.21%,USA,Analyze
COLM,Columbia Sportswear,Common stocks,Mid cap,Consumer Discretionary,"$6,610,258,061 ",0.52%,USA,Analyze
COMM,Commscope Holding Inc,Common stocks,Mid cap,Information Technology,"$4,212,183,563 ",0.00%,USA,Analyze
CONE,CyrusOne Inc,REITs,Mid cap,Real Estate,"$8,968,411,889 ",2.76%,USA,Analyze
COO,"Cooper Companies, Inc.",Common stocks,Large cap,Health Care,"$21,635,480,766 ",0.01%,USA,Analyze
COP,ConocoPhillips,Common stocks,Large cap,Energy,"$76,741,427,479 ",2.99%,USA,Analyze
COR,CoreSite Realty Corporation,REITs,Mid cap,Real Estate,"$5,922,022,233 ",3.54%,USA,Analyze
COST,Costco Wholesale Corp,Common stocks,Large cap,Consumer Staples,"$187,096,901,384 ",0.67%,USA,Analyze
COTY,Coty Inc Class A,Common stocks,Mid cap,Consumer Staples,"$6,810,691,977 ",0.00%,USA,Analyze
COUP,Coupa Software Inc,Common stocks,Large cap,Information Technology,"$16,567,461,032 ",0.00%,USA,Analyze
CPA,Copa Holdings SA Class A,Common stocks,Mid cap,Industrials,"$2,263,902,143 ",0.00%,USA,Analyze
CPB,Campbell Soup,Common stocks,Large cap,Consumer Staples,"$13,488,821,731 ",3.24%,USA,Analyze
CPRI,Capri Holdings Limited,Common stocks,Mid cap,Consumer Discretionary,"$7,732,915,426 ",0.00%,USA,Analyze
CPRT,Copart Inc,Common stocks,Large cap,Industrials,"$34,528,631,783 ",0.00%,USA,Analyze
CPT,Camden Property Trust,REITs,Large cap,Real Estate,"$14,292,923,007 ",2.25%,USA,Analyze
CR,Crane,Common stocks,Mid cap,Industrials,"$5,360,735,342 ",1.86%,USA,Analyze
CREE,Cree Inc,Common stocks,Large cap,Information Technology,"$10,646,405,086 ",0.00%,USA,Analyze
CRI,Carters Inc,Common stocks,Mid cap,Consumer Discretionary,"$4,390,852,444 ",0.40%,USA,Analyze
CRL,Charles River Laboratories International,Common stocks,Large cap,Health Care,"$19,762,924,162 ",0.00%,USA,Analyze
CRM,Salesforce.Com Inc,Common stocks,Large cap,Information Technology,"$229,277,600,000 ",0.00%,USA,Analyze
CRUS,Cirrus Logic Inc,Common stocks,Mid cap,Information Technology,"$4,839,611,145 ",0.00%,USA,Analyze
CRWD,"CrowdStrike Holdings, Inc. - Class A",Common stocks,Large cap,Information Technology,"$52,765,813,944 ",0.00%,USA,Analyze
CSCO,Cisco Systems Inc,Common stocks,Large cap,Information Technology,"$233,761,931,436 ",2.60%,USA,Analyze
CSGP,Costar Group Inc,Common stocks,Mid cap,Industrials,"$3,525,589,209 ",0.00%,USA,Analyze
CSL,Carlisle Companies Inc,Common stocks,Large cap,Industrials,"$10,400,272,540 ",1.05%,USA,Analyze
CSX,CSX Corp,Common stocks,Large cap,Industrials,"$74,150,370,480 ",1.09%,USA,Analyze
CTAS,Cintas Corp,Common stocks,Large cap,Industrials,"$40,835,649,614 ",1.10%,USA,Analyze
CTLT,Catalent Inc,Common stocks,Large cap,Health Care,"$19,248,595,489 ",0.00%,USA,Analyze
CTSH,Cognizant Technology Solutions,Common stocks,Large cap,Information Technology,"$36,618,207,106 ",1.32%,USA,Analyze
CTVA,"Corteva, Inc.",Common stocks,Large cap,Materials,"$31,216,227,350 ",1.22%,USA,Analyze
CTXS,Citrix Systems Inc,Common stocks,Large cap,Information Technology,"$14,250,651,755 ",1.25%,USA,Analyze
CUBE,CubeSmart,REITs,Mid cap,Real Estate,"$9,817,898,350 ",2.74%,USA,Analyze
CUZ,Cousins Properties Incorporated,REITs,Mid cap,Real Estate,"$5,877,751,838 ",3.05%,USA,Analyze
CVAC,CureVac N.V.,Common stocks,Large cap,Health Care,"$10,130,710,616 ",0.00%,Germany,Analyze
CVNA,Carvana Class A,Common stocks,Large cap,Consumer Discretionary,"$15,754,752,000 ",0.00%,USA,Analyze
CVS,CVS Health Corp,Common stocks,Large cap,Health Care,"$109,103,979,470 ",2.39%,USA,Analyze
CVX,Chevron Corp,Common stocks,Large cap,Energy,"$194,637,574,120 ",5.10%,USA,Analyze
CW,Curtiss Wright Corp,Common stocks,Mid cap,Industrials,"$4,794,276,467 ",0.44%,USA,Analyze
CZR,Caesars Entertainment Corp,Common stocks,Large cap,Consumer Discretionary,"$19,461,146,595 ",0.00%,USA,Analyze
D,Dominion Energy Inc,Common stocks,Large cap,Utilities,"$60,561,912,465 ",3.72%,USA,Analyze
DAL,Delta Air Lines Inc,Common stocks,Large cap,Industrials,"$26,665,252,966 ",0.72%,USA,Analyze
